,_id,formhub/uuid,start,end,group_ow7qd27/Name_of_school,group_ow7qd27/Ownership_of_school,group_ow7qd27/Category_of_school,group_ow7qd27/Type_of_school,group_ow7qd27/Sex_of_participant,group_ow7qd27/Age_of_participant,group_ow7qd27/Level_of_study,group_ow7qd27/Subject_for_assessment,group_da25q48/What_are_your_percep_s_teaching_knowledge/Our_teacher_presents_y_and_systematically,group_da25q48/What_are_your_percep_s_teaching_knowledge/The_teacher_usually_ives_before_teaching,group_da25q48/What_are_your_percep_s_teaching_knowledge/Our_teacher_collects_ow_we_want_to_learn,group_da25q48/What_are_your_percep_s_teaching_knowledge/Our_teacher_guides_u_g_materials_and_read,group_da25q48/What_are_your_percep_s_teaching_knowledge/Our_teacher_writes_l_and_give_us_to_copy,group_da25q48/What_are_your_percep_s_teaching_knowledge/We_are_involved_in_d_ng_local_environment,group_da25q48/What_are_your_percep_s_teaching_knowledge/The_teachers_spends_explaining_concepts,group_da25q48/What_are_your_percep_s_teaching_knowledge/Our_teacher_gives_a_with_clear_guidance,group_da25q48/What_are_your_percep_s_teaching_knowledge/Our_teacher_uses_rel_litate_understanding,group_da25q48/What_are_your_percep_s_teaching_knowledge/I_usually_see_a_link_class_with_real_life,group_da25q48/What_are_your_percep_s_teaching_knowledge/I_can_easily_approac_upport_after_classes,group_da25q48/What_are_your_percep_s_teaching_knowledge/The_content_learnt_i_bject_is_interesting,group_da25q48/What_are_your_percep_s_teaching_knowledge/Our_teacher_mixes_En_o_help_us_understand,group_da25q48/What_are_your_percep_s_teaching_knowledge/The_teacher_blends_w_g_and_online_classes,group_da25q48/What_are_your_percep_s_teaching_knowledge/Our_teacher_helps_us_e_learning_materials,group_da25q48/What_are_your_percep_s_teaching_knowledge/My_teacher_is_compet_o_run_online_session,group_da25q48/What_are_your_percep_s_teaching_knowledge/The_teacher_helps_us_mputer_learning_Apps,group_da25q48/What_are_your_percep_to_assess_the_lesson/We_are_given_assignm_lesson_s_objectives,group_da25q48/What_are_your_percep_to_assess_the_lesson/The_teacher_uses_mul_tasks_in_the_lesson,group_da25q48/What_are_your_percep_to_assess_the_lesson/Assessment_tasks_giv_real_life_situations,group_da25q48/What_are_your_percep_to_assess_the_lesson/We_are_informed_abou_nt_tasks_to_be_given,group_da25q48/What_are_your_percep_to_assess_the_lesson/Instructions_for_ass_asks_are_clear_to_me,group_da25q48/What_are_your_percep_to_assess_the_lesson/The_teacher_provides_fter_exams_and_tests,group_da25q48/What_are_your_percep_to_assess_the_lesson/The_teacher_gives_ti_to_improve_learning,group_da25q48/What_is_your_teacher_on_and_gender_equity/Our_teacher_directs_s_to_boys_than_girls,group_da25q48/What_is_your_teacher_on_and_gender_equity/Girls_are_the_most_f_ass_compared_to_boys,group_da25q48/What_is_your_teacher_on_and_gender_equity/Our_teacher_sometime_age_against_students,group_da25q48/What_is_your_teacher_on_and_gender_equity/I_would_perform_bett_chances_to_practice,group_da25q48/What_is_your_teacher_on_and_gender_equity/Students_with_specia_en_special_attention,group_da25q48/What_is_your_teacher_on_and_gender_equity/Our_teacher_offers_i_ts_with_disabilities,group_da25q48/What_is_your_teacher_on_and_gender_equity/Low_and_high_achieve_ged_to_work_together,group_da25q48/What_is_your_teacher_on_and_gender_equity/Our_teacher_takes_ca_al_social_well_being,group_da25q48/What_is_your_teacher_on_and_gender_equity/Our_teacher_has_a_ca_attitude_to_students,group_da25q48/What_is_your_teacher_on_and_gender_equity/Teacher_exposes_us_t_oster_our_creativity,group_da25q48/What_is_your_teacher_on_and_gender_equity/Teacher_s_instructio_tween_girls_and_boys,group_wf3zl05/To_what_extent_does_ng_and_future_career/The_lesson_helps_me_country_and_value_it,group_wf3zl05/To_what_extent_does_ng_and_future_career/The_teacher_enabled_working_with_others,group_wf3zl05/To_what_extent_does_ng_and_future_career/The_teacher_provided_d_my_thinking_skills,group_wf3zl05/To_what_extent_does_ng_and_future_career/The_teacher_equipped_day_to_day_problems,group_wf3zl05/To_what_extent_does_ng_and_future_career/The_teacher_enabled_for_my_future_career,group_wf3zl05/To_what_extent_does_ng_and_future_career/The_teacher_encourag_e_and_try_new_things,group_wf3zl05/To_what_extent_does_ng_and_future_career/The_teacher_helped_m_technological_tools,group_wf3zl05/Any_other_comments_on_this,group_qn2ae21/What_factors_have_af_ning_in_this_subject/We_learn_too_many_st_short_period_of_time,group_qn2ae21/What_factors_have_af_ning_in_this_subject/There_are_a_lot_of_t_e_me_not_concentrate,group_qn2ae21/What_factors_have_af_ning_in_this_subject/Our_teacher_is_neith_ive_nor_approachable,group_qn2ae21/What_factors_have_af_ning_in_this_subject/The_teaching_style_m_ficult_to_understand,group_qn2ae21/What_factors_have_af_ning_in_this_subject/The_teacher_don_t_co_earning_difficulties,group_qn2ae21/What_factors_have_af_ning_in_this_subject/There_is_shortage_of_reading_materials,group_qn2ae21/What_factors_have_af_ning_in_this_subject/There_is_no_access_t_d_related_facilities,group_qn2ae21/What_factors_have_af_ning_in_this_subject/There_are_no_enough_the_lessons_we_learn,group_qn2ae21/What_factors_have_af_ning_in_this_subject/The_teacher_has_nega_s_students_learning,group_qn2ae21/List_any_other_facto_affect_your_learning,group_qn2ae21/In_your_opinion_wha_learning_competences,__version__,meta/instanceID,_xform_id_string,_uuid,_attachments,_status,_geolocation,_submission_time,_tags,_notes,_validation_status,_submitted_by,group_qn2ae21/What_factors_have_af_ning_in_this_subject/What_factors_have_af_ning_in_this_subject_header,group_da25q48/What_are_your_percep_to_assess_the_lesson/What_are_your_percep_to_assess_the_lesson_header
72,225607043,d4af534c1c354ec6b1a5949a8fee1bc3,2021-10-23T14:07:57.660+03:00,2021-10-23T14:11:07.594+03:00,Maria De Mattias Secondary school,private,boarding_school,girls_only,female,11_15,form_three,mathematics,disagree,agree,agree,agree,agree,disagree,strongly_agree,strongly_agree,agree,agree,agree,agree,strongly_agree,disagree,disagree,disagree,disagree,strongly_agree,agree,disagree,agree,strongly_agree,agree,agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,agree,agree,strongly_agree,agree,agree,disagree,strongly_disagree,disagree,strongly_agree,strongly_agree,agree,agree,agree,agree,No comment,yes,no,no,yes,no,yes,yes,no,no,Learning many things in a short period of time,To get access of computer and internet,v5qpaMybKZaNr7HvESn8Rj,uuid:599b5aeb-09cc-4f85-a96e-84de5db22f12,agogUcQmdhjWi8cjGrBBwU,599b5aeb-09cc-4f85-a96e-84de5db22f12,[],submitted_via_web,"[None, None]",2021-10-23 11:11:28,[],[],{},,,
73,225608437,d4af534c1c354ec6b1a5949a8fee1bc3,2021-10-23T14:11:08.092+03:00,2021-10-23T14:15:25.687+03:00,Maria De Mattias Secondary school,private,boarding_school,girls_only,female,11_15,form_three,geography,strongly_agree,agree,agree,strongly_agree,strongly_agree,strongly_agree,agree,agree,agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,agree,agree,agree,strongly_disagree,agree,agree,agree,agree,strongly_agree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,agree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_disagree,agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,My teacher is the best advisor and cooperative,no,no,no,no,no,no,yes,no,no,None,Increasing internet access to find answers of difficult questions,v5qpaMybKZaNr7HvESn8Rj,uuid:8bca4023-8cf5-42bd-a5f1-7485ba286882,agogUcQmdhjWi8cjGrBBwU,8bca4023-8cf5-42bd-a5f1-7485ba286882,[],submitted_via_web,"[None, None]",2021-10-23 11:15:38,[],[],{},,,
74,225609687,d4af534c1c354ec6b1a5949a8fee1bc3,2021-10-23T14:15:26.408+03:00,2021-10-23T14:19:41.502+03:00,Maria De Mattias Secondary school,private,boarding_school,girls_only,female,11_15,form_three,geography,strongly_agree,agree,agree,strongly_agree,agree,agree,strongly_agree,agree,strongly_agree,agree,strongly_agree,agree,strongly_agree,agree,agree,strongly_agree,agree,agree,agree,agree,agree,strongly_agree,agree,agree,strongly_disagree,strongly_disagree,strongly_disagree,agree,agree,strongly_agree,agree,agree,agree,agree,disagree,agree,agree,agree,agree,strongly_agree,agree,agree,My teacher advice me when I fail,no,no,no,no,no,no,yes,no,no,None,Teacher should give us access to computer for learning more,v5qpaMybKZaNr7HvESn8Rj,uuid:89c3bb80-ac22-40c8-ac89-6f84cc74cd4e,agogUcQmdhjWi8cjGrBBwU,89c3bb80-ac22-40c8-ac89-6f84cc74cd4e,[],submitted_via_web,"[None, None]",2021-10-23 11:19:56,[],[],{},,,
75,225610901,d4af534c1c354ec6b1a5949a8fee1bc3,2021-10-23T14:19:41.900+03:00,2021-10-23T14:23:09.788+03:00,Maria De Mattias Secondary school,private,boarding_school,girls_only,female,16_20,form_three,mathematics,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,agree,disagree,agree,agree,agree,agree,strongly_agree,agree,agree,agree,agree,agree,agree,strongly_disagree,strongly_disagree,disagree,strongly_agree,agree,agree,agree,agree,agree,agree,disagree,agree,strongly_agree,strongly_agree,agree,agree,agree,strongly_agree,No comments,yes,no,no,no,no,no,no,no,no,None,Teacher should give us a chance to use computer for learning,v5qpaMybKZaNr7HvESn8Rj,uuid:597d3dbb-afa2-455e-8d53-4d7cfde5b897,agogUcQmdhjWi8cjGrBBwU,597d3dbb-afa2-455e-8d53-4d7cfde5b897,[],submitted_via_web,"[None, None]",2021-10-23 11:23:26,[],[],{},,,
76,226679995,d4af534c1c354ec6b1a5949a8fee1bc3,2021-10-26T17:57:09.269+03:00,2021-10-26T17:59:19.640+03:00,Sambu Secondary school,private,day_and_boarding_school,girls_and_boys,female,16_20,form_four,english,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,agree,strongly_agree,strongly_agree,strongly_agree,disagree,disagree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,Nil,no,no,no,no,yes,no,no,no,no,Nil,Nil,v5qpaMybKZaNr7HvESn8Rj,uuid:6a982957-a44a-4d40-abb4-725ca5df8750,agogUcQmdhjWi8cjGrBBwU,6a982957-a44a-4d40-abb4-725ca5df8750,[],submitted_via_web,"[None, None]",2021-10-26 14:59:31,[],[],{},,,
77,226681011,d4af534c1c354ec6b1a5949a8fee1bc3,2021-10-26T17:59:19.871+03:00,2021-10-26T18:01:56.424+03:00,Sambu Secondary school,private,day_and_boarding_school,girls_and_boys,male,16_20,form_four,geography,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,agree,disagree,disagree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,disagree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,Nil,no,yes,yes,no,yes,yes,no,yes,yes,Nil,Nil,v5qpaMybKZaNr7HvESn8Rj,uuid:8d818411-f7e1-457f-b660-38f453a82031,agogUcQmdhjWi8cjGrBBwU,8d818411-f7e1-457f-b660-38f453a82031,[],submitted_via_web,"[None, None]",2021-10-26 15:02:10,[],[],{},,,
78,226682486,d4af534c1c354ec6b1a5949a8fee1bc3,2021-10-26T18:01:56.715+03:00,2021-10-26T18:06:00.475+03:00,Sambu Secondary school,private,day_and_boarding_school,girls_and_boys,female,16_20,form_four,geography,agree,agree,strongly_agree,strongly_agree,strongly_agree,agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,agree,strongly_agree,agree,agree,strongly_agree,strongly_agree,strongly_agree,agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,agree,strongly_disagree,agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,agree,Nil,no,no,no,no,no,yes,no,no,no,Nil,Nil,v5qpaMybKZaNr7HvESn8Rj,uuid:e04dbd74-8dfe-4c4f-a05a-33668dd23910,agogUcQmdhjWi8cjGrBBwU,e04dbd74-8dfe-4c4f-a05a-33668dd23910,[],submitted_via_web,"[None, None]",2021-10-26 15:06:15,[],[],{},,,
79,226683827,d4af534c1c354ec6b1a5949a8fee1bc3,2021-10-26T18:06:00.730+03:00,2021-10-26T18:09:26.957+03:00,Sambu Secondary school,private,day_and_boarding_school,girls_and_boys,male,16_20,form_four,geography,agree,agree,strongly_agree,strongly_agree,strongly_agree,agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,agree,agree,agree,strongly_agree,strongly_agree,strongly_agree,agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,disagree,strongly_agree,strongly_agree,disagree,strongly_agree,agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,Nil,no,no,no,yes,yes,no,no,no,no,Nil,Nil,v5qpaMybKZaNr7HvESn8Rj,uuid:d51ca7fe-17b5-43ee-98bd-c01c8876588d,agogUcQmdhjWi8cjGrBBwU,d51ca7fe-17b5-43ee-98bd-c01c8876588d,[],submitted_via_web,"[None, None]",2021-10-26 15:09:40,[],[],{},,,
80,226685923,d4af534c1c354ec6b1a5949a8fee1bc3,2021-10-26T18:09:27.171+03:00,2021-10-26T18:14:06.499+03:00,Sambu Secondary school,private,day_and_boarding_school,girls_and_boys,female,16_20,form_four,geography,strongly_agree,agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,agree,agree,strongly_agree,agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,disagree,agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,disagree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,agree,Nil,no,no,no,yes,no,yes,no,no,no,Nil,Nil,v5qpaMybKZaNr7HvESn8Rj,uuid:33224cd3-299a-4c3f-8610-ae0cd362ac5a,agogUcQmdhjWi8cjGrBBwU,33224cd3-299a-4c3f-8610-ae0cd362ac5a,[],submitted_via_web,"[None, None]",2021-10-26 15:14:20,[],[],{},,,
81,226689157,d4af534c1c354ec6b1a5949a8fee1bc3,2021-10-26T18:14:06.804+03:00,2021-10-26T18:23:28.254+03:00,Sambu Secondary school,private,day_and_boarding_school,girls_and_boys,male,16_20,form_four,mathematics,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,agree,strongly_agree,strongly_agree,strongly_agree,agree,strongly_agree,strongly_agree,strongly_agree,agree,agree,agree,agree,strongly_agree,strongly_agree,agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,disagree,disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,agree,agree,Nil,yes,no,yes,yes,yes,yes,yes,yes,no,Nil,To reduce classroom exercise to make students concentrate more on studies,v5qpaMybKZaNr7HvESn8Rj,uuid:b693b290-5796-4c95-8b46-2335dfb1eac4,agogUcQmdhjWi8cjGrBBwU,b693b290-5796-4c95-8b46-2335dfb1eac4,[],submitted_via_web,"[None, None]",2021-10-26 15:23:42,[],[],{},,,
82,226690267,d4af534c1c354ec6b1a5949a8fee1bc3,2021-10-26T18:23:28.574+03:00,2021-10-26T18:26:17.372+03:00,Sambu Secondary school,private,day_and_boarding_school,girls_and_boys,male,16_20,form_four,geography,strongly_agree,strongly_agree,agree,strongly_agree,strongly_agree,strongly_agree,agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,agree,agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,disagree,disagree,disagree,disagree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,agree,agree,Nil,no,no,no,no,yes,no,yes,no,no,Nil,More teachers in the school,v5qpaMybKZaNr7HvESn8Rj,uuid:9c3b12cc-e8d9-4459-9f2a-ed1a25b4bb73,agogUcQmdhjWi8cjGrBBwU,9c3b12cc-e8d9-4459-9f2a-ed1a25b4bb73,[],submitted_via_web,"[None, None]",2021-10-26 15:26:31,[],[],{},,,
83,226692298,d4af534c1c354ec6b1a5949a8fee1bc3,2021-10-26T18:26:17.633+03:00,2021-10-26T18:32:15.251+03:00,Sambu Secondary school,private,day_and_boarding_school,girls_and_boys,male,16_20,form_four,geography,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,agree,agree,agree,agree,strongly_agree,strongly_agree,agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,disagree,disagree,disagree,disagree,strongly_agree,strongly_agree,strongly_agree,agree,strongly_agree,disagree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,agree,agree,Nil,no,no,yes,no,yes,no,yes,no,no,Nil,Nil,v5qpaMybKZaNr7HvESn8Rj,uuid:9a4d7e46-f658-480a-9832-26d0f7ce3278,agogUcQmdhjWi8cjGrBBwU,9a4d7e46-f658-480a-9832-26d0f7ce3278,[],submitted_via_web,"[None, None]",2021-10-26 15:32:28,[],[],{},,,
84,227537564,d4af534c1c354ec6b1a5949a8fee1bc3,2021-10-26T18:39:56.680+03:00,2021-10-29T05:34:50.032+03:00,Tumbi Secondary school,public,day_school,girls_and_boys,male,11_15,form_two,mathematics,strongly_agree,strongly_agree,agree,strongly_agree,strongly_agree,agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,agree,strongly_agree,strongly_disagree,agree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,disagree,agree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,agree,strongly_agree,agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,agree,option,Nil,yes,yes,no,no,yes,yes,no,no,no,Punishment,Reduce punishment,v5qpaMybKZaNr7HvESn8Rj,uuid:fe652ec6-b3d8-4278-9268-ed70b532ee10,agogUcQmdhjWi8cjGrBBwU,fe652ec6-b3d8-4278-9268-ed70b532ee10,[],submitted_via_web,"[None, None]",2021-10-29 2:35:03,[],[],{},,,
85,227537918,d4af534c1c354ec6b1a5949a8fee1bc3,2021-10-29T05:34:50.428+03:00,2021-10-29T05:37:37.979+03:00,Tumbi Secondary school,public,day_school,girls_and_boys,male,16_20,form_two,geography,strongly_agree,strongly_agree,agree,strongly_agree,strongly_agree,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_disagree,agree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,agree,strongly_agree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,agree,disagree,strongly_agree,agree,strongly_agree,strongly_agree,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,agree,strongly_agree,strongly_agree,option,Nil,no,no,no,no,yes,yes,yes,no,no,Noises in the class,Teaching style,v5qpaMybKZaNr7HvESn8Rj,uuid:da485190-41d4-486e-a212-fd12c732c5f3,agogUcQmdhjWi8cjGrBBwU,da485190-41d4-486e-a212-fd12c732c5f3,[],submitted_via_web,"[None, None]",2021-10-29 2:37:51,[],[],{},,,
86,227538280,d4af534c1c354ec6b1a5949a8fee1bc3,2021-10-29T05:37:38.295+03:00,2021-10-29T05:42:05.854+03:00,Tumbi Secondary school,public,day_school,girls_and_boys,male,16_20,form_two,english,disagree,disagree,disagree,disagree,strongly_agree,strongly_disagree,agree,strongly_agree,disagree,disagree,strongly_agree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_disagree,strongly_agree,strongly_disagree,agree,disagree,agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,agree,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,agree,strongly_disagree,disagree,strongly_agree,strongly_agree,agree,strongly_agree,disagree,option,Nil,no,no,no,no,no,yes,yes,no,no,No,Improving learning materials,v5qpaMybKZaNr7HvESn8Rj,uuid:73f39c05-e49b-4441-9cb4-2168f65b3848,agogUcQmdhjWi8cjGrBBwU,73f39c05-e49b-4441-9cb4-2168f65b3848,[],submitted_via_web,"[None, None]",2021-10-29 2:42:19,[],[],{},,,
87,227538499,d4af534c1c354ec6b1a5949a8fee1bc3,2021-10-29T05:42:06.173+03:00,2021-10-29T05:44:49.517+03:00,Tumbi Secondary school,public,day_school,girls_and_boys,female,16_20,form_two,geography,strongly_agree,agree,agree,strongly_agree,strongly_agree,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_disagree,agree,strongly_disagree,strongly_disagree,agree,strongly_agree,strongly_agree,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,agree,disagree,strongly_agree,disagree,strongly_agree,disagree,strongly_disagree,strongly_agree,agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,option,Nil,no,no,no,no,no,yes,yes,no,no,Nil,More practical teaching,v5qpaMybKZaNr7HvESn8Rj,uuid:1dbdff8d-b7bd-40d3-9120-e89121a3086b,agogUcQmdhjWi8cjGrBBwU,1dbdff8d-b7bd-40d3-9120-e89121a3086b,[],submitted_via_web,"[None, None]",2021-10-29 2:45:03,[],[],{},,,
88,227538700,d4af534c1c354ec6b1a5949a8fee1bc3,2021-10-29T05:44:49.877+03:00,2021-10-29T05:47:34.649+03:00,Tumbi Secondary school,public,day_school,girls_and_boys,male,16_20,form_two,physics,strongly_disagree,strongly_agree,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,strongly_disagree,agree,agree,agree,strongly_agree,strongly_agree,strongly_agree,agree,strongly_disagree,strongly_disagree,strongly_disagree,agree,strongly_disagree,agree,strongly_agree,agree,agree,agree,strongly_disagree,strongly_disagree,strongly_disagree,agree,strongly_agree,strongly_disagree,strongly_agree,strongly_disagree,strongly_agree,disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,option,Nil,yes,no,no,no,yes,no,yes,yes,no,Poor cooperation between teacher and students when teaching,Nil,v5qpaMybKZaNr7HvESn8Rj,uuid:ac9b8a01-fdc1-4f58-a002-e9371b26836f,agogUcQmdhjWi8cjGrBBwU,ac9b8a01-fdc1-4f58-a002-e9371b26836f,[],submitted_via_web,"[None, None]",2021-10-29 2:47:47,[],[],{},,,
89,227538972,d4af534c1c354ec6b1a5949a8fee1bc3,2021-10-29T05:47:34.903+03:00,2021-10-29T05:50:03.388+03:00,Tumbi Secondary school,public,day_school,girls_and_boys,female,11_15,form_two,mathematics,strongly_agree,strongly_agree,agree,strongly_agree,strongly_agree,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_disagree,agree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,disagree,strongly_agree,agree,strongly_agree,strongly_agree,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,option,Nil,yes,no,no,no,no,no,yes,no,no,Learning many things at once,Practical learning and more opportunities to slow learners,v5qpaMybKZaNr7HvESn8Rj,uuid:84921490-a6c0-4308-9667-cf3e6880ef70,agogUcQmdhjWi8cjGrBBwU,84921490-a6c0-4308-9667-cf3e6880ef70,[],submitted_via_web,"[None, None]",2021-10-29 2:50:16,[],[],{},,,
90,227539184,d4af534c1c354ec6b1a5949a8fee1bc3,2021-10-29T05:50:03.701+03:00,2021-10-29T05:52:42.809+03:00,Tumbi Secondary school,public,day_school,girls_and_boys,female,11_15,form_two,geography,strongly_agree,strongly_agree,strongly_agree,agree,strongly_agree,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,disagree,agree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,disagree,strongly_agree,strongly_agree,strongly_agree,agree,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,agree,strongly_agree,strongly_agree,option,Nil,no,no,no,no,no,yes,yes,no,no,Harsh and strictness of the teacher,Gain more knowledge of teaching,v5qpaMybKZaNr7HvESn8Rj,uuid:d06ced1e-6add-4324-a680-eb6db1e35878,agogUcQmdhjWi8cjGrBBwU,d06ced1e-6add-4324-a680-eb6db1e35878,[],submitted_via_web,"[None, None]",2021-10-29 2:52:54,[],[],{},,,
91,227539461,d4af534c1c354ec6b1a5949a8fee1bc3,2021-10-29T05:52:43.007+03:00,2021-10-29T05:55:20.519+03:00,Tumbi Secondary school,public,day_school,girls_and_boys,female,16_20,form_two,mathematics,strongly_agree,strongly_agree,disagree,agree,strongly_agree,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_disagree,agree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_disagree,strongly_disagree,strongly_disagree,strongly_agree,strongly_agree,disagree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_disagree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,strongly_agree,Nil,no,no,no,no,no,yes,yes,no,no,Not liking the subject,To consider slow learners,v5qpaMybKZaNr7HvESn8Rj,uuid:edf3cc8b-43d6-4d18-9b38-2bebd4ef9691,agogUcQmdhjWi8cjGrBBwU,edf3cc8b-43d6-4d18-9b38-2bebd4ef9691,[],submitted_via_web,"[None, None]",2021-10-29 2:55:33,[],[],{},,,
